date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:46	262695/262695	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Aug%202023%2011:35:15%20GMT	https://akademi.dexignlab.com/xhtml/index.html	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/index.html	(from )
18:18:46	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Feb%202024%2012:42:07%20GMT	https://akademi.dexignlab.com/robots.txt		(from )
18:18:46	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Feb%202024%2012:42:07%20GMT	https://akademi.dexignlab.com/xhtml/social-image.png	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/social-image.png	(from https://akademi.dexignlab.com/xhtml/index.html)
18:18:47	508/508	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Mar%202023%2013:41:42%20GMT	https://akademi.dexignlab.com/xhtml/images/favicon.png	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/images/favicon.png	(from https://akademi.dexignlab.com/xhtml/index.html)
18:18:47	11120/11120	---M--	200	added ('OK')	text/css	date:Fri,%2017%20Apr%202020%2018:49:58%20GMT	https://akademi.dexignlab.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://akademi.dexignlab.com/xhtml/index.html)
18:18:47	57095/57095	---M--	200	added ('OK')	text/css	date:Thu,%2014%20Apr%202022%2000:32:24%20GMT	https://akademi.dexignlab.com/xhtml/vendor/wow-master/css/libs/animate.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/vendor/wow-master/css/libs/animate.css	(from https://akademi.dexignlab.com/xhtml/index.html)
18:18:48	10294/10294	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Jun%202020%2017:12:34%20GMT	https://akademi.dexignlab.com/xhtml/vendor/bootstrap-select-country/css/bootstrap-select-country.min.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/vendor/bootstrap-select-country/css/bootstrap-select-country.min.css	(from https://akademi.dexignlab.com/xhtml/index.html)
18:18:48	4048/4048	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Jun%202021%2003:22:46%20GMT	https://akademi.dexignlab.com/xhtml/vendor/jquery-nice-select/css/nice-select.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/vendor/jquery-nice-select/css/nice-select.css	(from https://akademi.dexignlab.com/xhtml/index.html)
18:18:49	15731/15731	---M--	200	added ('OK')	text/css	date:Mon,%2020%20May%202019%2009:56:50%20GMT	https://akademi.dexignlab.com/xhtml/vendor/datepicker/css/bootstrap-datepicker.min.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/vendor/datepicker/css/bootstrap-datepicker.min.css	(from https://akademi.dexignlab.com/xhtml/index.html)
18:18:49	14996/14996	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Feb%202023%2017:48:14%20GMT	https://akademi.dexignlab.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css	C:/Users/mrunal.lohakare/Desktop/Main%20Dashboard/akademi.dexignlab.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css	(from https://akademi.dexignlab.com/xhtml/index.html)
